"This, in Segovia",este
Tomorrow's never-never land.,utopia
'___ only' (garment label),dry clean
Escape route (wordplay),Lam
General cleaner's work,sweeping
Mischief ,Hanky Panky
Candidate for a court-martial.,mutineer
'What the heck!',why not
Yacht or ferry,boat
Common sense or practical intelligence,no us
Indo-Chinese or Thai ,asian
"Golden Earring's ""___ for a Second""",grab it
Bob Woodward book,wired
"""Bonjour, mon ___"" ",Ami
Danger metaphor,limb
"College in Westchester County, N.Y.",Iona
Finally (and none too soon!),about time
Shivered in one's shoes,quaked
General Grants.,tanks
World Toilet Day org,unicef
Fixation.,fetish
Jiggled ,teetered
Stone Soup cartoonist Jan,Eliot
"Tarantino's ""___ Fiction""",pulp
Diffuse ,radiate
Comb maker,bee
Chores of a kind.,errands
Shaman,curer
Gives the once-over ,eyes
Brand-spanking new,inmintcondition
Cologne cooler,e is
"Not sharply defined, as a PC image",lowres
"Arrived, as in a car",pulled up
Fibber ,McGee
Farming sci.,a gr
Toyotas boxy car,scion
"King of ""uhs."" ",ers
Product of Patino's mines.,tin
Collectible Pontiacs,gtos
Town: Ger.,stadt
Comparatively agile,spryer
Desert lizard of the U. S.,uma
Make holy or sacred,sanctify
Insect mailing a package (wordplay),shipping flea
Old Montmartre money,franc
Something to deal with (wordplay),coping strategy
Musical interval with topsy-turvy improvisation or tango heard being announced,major third
Armstrong's attire,g suit
Hits the roof,rages
Groups of whales,gams
Normal course of action,routine
John ___ rose to fame as a panellist on Whose Line Is It Anyway (wordplay),sessions
Desert paradises,oases
GEICO spokeslizard,gecko
"The dermatology study shouldn't be funded, Tom decided ___",rashly
Have a shot at double this container,barrel
Naysayers (wordplay),all opposed
Players for a time expect to go on a charm offensive perhaps,casta spell
In a low mood,depressed
Certain seventh chapter,ETA
Spades and bucket turned over for games,meets
Peremptory order to leave house or premises,get out
Soviet capital (wordplay),ess
Exile island of 1814,elba
"'77 James Brolin movie with possesed vehicle (3,3)",the car
Prohibition establishment,speakeasy
Covered with soil,loamed
Party in a money deal ,Payee
Who cares,so what
"Wins back, as land",reclaims
Kwik-E-Mart proprietor of TV,apu
"...with a sign that says '___',...",ourtopbestsellers
"Introspective, maybe moody",pensive
Holiday trees,firs
Self-important secondaries,tingods
One may go to the dogs,treat
Pedestrian right of way,footpath
Miniseries segment,part f
Offer of assistance,call on me
Rip that may get shed,tear
"Much-mistrusted name in news, once",Pravda
In a short time.,an on
Meriwether who was once Catwoman,Lee
Leather works.,tannery
"Balance, with ""out""",even
Humbert's beloved,Lolita
Clock maven Thomas,Seth
___ Dos,uno
'___ not know that!',i did
Title for Khomeini,imam
Holiday hanging,Crepe
Less unsavory,tastier
"""Canterbury Tales"" character",reeve
Smash hit for DJ Snake and Lil Jon,turndown for what
Mason's makeover (wordplay),brick redo
Bombshell author Suzanne,somers
Part  of quip,albee
"Doc Adams of ""Gunsmoke""",stone
Wrestling hold,Bear Hug
Slavish sons of the soil,serfs
Group with guns,army
Relative of verbena. ,Lantana
A Parisian international out of game's uniform? Not so,unequal
Immediate action where claws are out (wordplay),wildcat strike
However.,yet
I  You hit for Elvis,beg of
Stream overflows,freshets
Plant yielding aromatic balsam,Nard
Harry Potter ___ der Stein der Weisen (German version of the first book),und
It's ___!,a trap
"Cannon of ""Deathtrap""",dyan
Normal to call to hospital ward for the Anglicans,common prayer
Hear about Ron being upset by farmer,Ranchero
Deck the Halls bits,las
Doughnut shop fixtures,fryers
"Give me an example, wise guy",name one
Unblinking female lacking features on the head (wordplay),fearless
'___ a kick out of... ',iget
Lovebirds' home,cage
German theologian Thomas,erastus
Summer concert,prom
"Refuse, as access",deny
See 28 Down,eroo
Greedy ones demand,Gimme
Someone with a lot on his shoulders,atlas
Wiesbaden wife,frau
Fish-eating birds,darters
"""As through a glass ___."" ",darkly
Sea creature is a food with shell on back,tuna
Bell-bottoms feature,flare
Grower heads for York urgently ___ Christmas cactus aboard,Yucca
"Introduces newer technology to, say",retools
"Puzzle of gamine (6),",enigma
Scheme,Brliag v
Offspring of tiny queens,ants
Language of Ceylon. ,Tamil
"""How ___ things?""",a re
Limerick writer Edward,lear
Wife of Ahab,Jezebel
Not nice to look at,Ugly
Matthew ___. ,Vassar
Bay Area hub (Abbreviation),SFO
Most freezing,oldest
Worthless matter ,chaff
Paralyze with fear,petrify
Stage-set mover,Winch
Rarely seen bill,two
Fruit dishes.,compotes
"Bye, Bye, Birdie tune",kids
Librarians device,dater
Plagiarist,copycat
Circus performer.,tamer
Roamed without restriction,ran free
Relatives of short gasps,long pants
"350, to Livy",cccl
Fabric. ,sailcloth
"Maidservant, old style",Ancille
Cousin of 'Shucks!',damn
"Southpaw pitcher, in slang",portside r
Expression used when a plan goes awry,back to square one
Outfield family,alous
Manage stewed prunes for some on the podium,runners up
Valuables,swag
Repeal,annul
Where 'Swan Lake' premiered,Bolshoi
"Shelters a fugitive, e.g",abets
Joins in matrimony,weds
Climbing gear for bugs (wordplay),scarabiner
"Distant-sounding ""M*A*S*H"" actor Jamie",farr
Retired Monopoly token,iron
"Reader's notes, at times",marginalia
"Of the moon, increase and decrease in alternating sequence",Wax and Wane
Claim,postulate
Comedian Eric,blore
"Key of Vivaldi's ""Spring Concerto""",EMAJ
Seafood,oysters
Humorous utterance,Jest
You're lookin' at the champ!,irule
Prejudiced on gender,sexist
... and the math department brought it home with a ...,closing number
Stupifies.,stuns
Hip 1984 Bill Murray film,ghostbusters
Building's rain diverter,eave
Subject of Hogarth engravings and new opera. ,rake
Van Gogh's 'Letters to His Brother ___',the o
One may be found in the kitchen clearing table,draining board
It has 20s,atm
Fractions of a pound,pence
Recall,revisit
the big deal,what s
The god is up for the rest,nap
Ace with a return,tax attorney
Of a North Sea region Comb. form. ,balto
"Oops, Ed says, ""I forgot my ___!""",Pepper Napkin
Engage virgin without hesitation,interact
Abrasive tool,scraper
Sketched,penciled
"Modern ""Wellaway!""",oh dear
Athletics event,hurdles
What's almost too difficult for church singer,beyonce
"Sustained, musically",Sostenuto
Buffalo coin of the past,nickel
Have one in the snout to make one quite sound,noise
Part 2 of quote,hopetowriteabook
Fuel he'd set off leads to alert,heedful
Spy's family at 8,Moleskin
Watery,thin
___ Joel,hose a
Use as influence,exert
In ___ ,situ
Sign of success in the theatre.,sro
Authoritative imposition,Levy
Buck of the future,fawn
Klonopin user's problem,anxiety
Group that antagonized 21-Down,sith
Judged as a film,rated
Term-paper grade abbreviation,exc
Like Antoine's cuisine,Creole
Turn up the heat!,brrr
Sounds in size or could be one of them,teeth
Produces.,turns out
"___ Little, ""The Wire"" character",Omar
Medical equipment prefix,stetho
"Stone who co-created ""South Park""",Matt
Cannes comebacks,echos
Horizontal part of H,cross piece
Sounded off in a way,booed
Ancient kingdom near Edom,moab
Cheesy written argument (wordplay),legal brie
Vessel of W.W. I.,ubo at
Cuffed a crook,nabbed
Part of the Mediterranean. ,aegean
Down with the mouth,eat
We want more from Connex trains,extra
Relative of a 'gator.,croc
'Filthy' money,Lucre
Endnotes abbr,et al
"Prepares for storage, maybe",bins
Texas baseballer,ranger
'Look ___ hands!',mano
"Grounded trans-Atlantic fliers, for short",ssts
One asking for more Money,renewer
Had a TV dinner say,a tein
Train time.,Tenten
"Authentic, to Angela Merkel",echt
Common French infinitive.,etre
Large holder of coffee,urn
"Some Italian cars, for short",Alfas
Australia's fifth-largest city,adelaide
Have a hungry reaction,drool
Huge land mass,eurasia
Rock bass and rudd,red eyes
Magritte contemporary,Dali
They have the answers,keys
As usual the Bench is unoccupied,norm
"Course for non-English speakers, briefly",ESL
Begin doubting urge to discard,ditch
Im gonna  the store,run to
Hindu groups,castes
Constable's domain in Messina,Mallecho
"Historical role for Peter Lorre in ""The Story of Mankind""",nero
See 20-Across,Nickeland Iron
"Shameless airer, briefly",sho
Affirmative votes.,ays
Wildly enthused,Rahrah
Botherations,headaches
Part 6 of the quip,moreexercisenow
Choir staple,Christmas Carol
Pillars forming male figures.,telamons
Format for Google Reader (RIP),rss
Published false statement that damages reputation,libel
Ticked off,cross
Handymen's favorite tools (wordplay),great planes
"Cuban ""capital."" ",sugar
Mickey of movies,rourke
Eye ntwk.,CBS
Conclusion of some card games,Gin
buh-bye,ttyl
Things you might go through in order to go to the bathroom (wordplay),shithoops
Upper Amazon hub,manaus
Not a hard way to get customers (wordplay),soft sell
Dipper milieu ,ursa
Conning Tower columnist,fpa
A note in the musical scale.,LA
Feature of the Earth,tilt
"Dickinson or Frost, e.g",poet
Part of a thick,tree
Pitching-ace McLain,denny
"Go too far, having finished marathon (wordplay)",overrun
One hanging under a canopy,vine
Silly as a goose,inane
How the young cause one to skid around and die,kiddies
"Canonized people, briefly",sts
"Singer of the Bond themes ""To Sir With Love"" and ""The Man With the Golden Gun""",lulu
Overwhelming flood ,Niagara
How one puts one's foot down over the child that's not one's own,steps on
Israel Philharmonics Music Director for Life,Mehta
Its capital is Katmandu.,Nepal
"Applies lightly, as makeup",dabs
"Sinuses, for example",iter s
"Oriole, for one",aler
Go ___ (approach humbly),hatin hand
Stadium level,tier
"He's too calm, maybe, for a young peer",schoolmate
"Slowly, to Sibelius",Largo
"Cistercian, for example.",nun
Aquarium need,aerator
Shade of green. ,lime
Goes poof,disappears
Kind of brake,disk
"___ du Nord, Paris",g are
Stalingrad position (wordplay),fallback in the ussr
Bar or airport ___,code
Candle-lighting season,advent
Growth restricted by insane moneylenders,anemone
"Red-head, perhaps (wordplay)",wine snob
Part of C.S.A. abbreviation,amer
"Red in the middle, say",rare
Go home. ,scat
Like the equation 'x = x + 1',unsolvable
Postal wasteland (wordplay),dlo
Cover for the iris ,cornea
Retailers concern,sales
"Doubtful after sermon, extremely condescending",sniffy
Cardio workout routine,xxxxx
"Easter, for one",is land
Bookstore (wordplay),reserve
Tiny ___,alice
Large New York fruit,Big Apple
___ Church Society ,amana
The   Hitchcock movie,steps
One of the tides,high
Pastor's responsibility.,flock
Head across the Atlantic,loo
Scatter-brained singer (wordplay),ella
Gandhi eg religiously,hindu
Like ceili dancing,irish
"Staring, in a way ",ogling
Wheel of Fortune regular,Sajak
"Stringed instruments at luaus, casually",ukes
Greengages et al.,plums
Part 3 of quip,denials of ar
Metallic element used in strong lightweight alloys,titanium
Bathroom fixture sometimes inducing snickers,bidet
Unfairness,in equity
"'Mahalo nui ___' ('Thank you very much,' in Hilo)",loa
"Rich, in Valladolid",Rico
'93 Sugar Bowl champs,Bama
It might put you head and shoulders above everyone else,stilt
Duke of Flatbush,snider
Like a limequat,tart
One border of Mesopotamia,Euphrates
Resort with cucumber slices,spa
Covered costs,broke even
Breakfast and lunch,meals
"Accountants aren't fired, they're ___",counted out
"Innovative, in upgrade lingo",next gen
Established belief,dogma
Screwball Philips,emo
Suffix with Jacob or Euclid ,ean
Give us this day ___ daily bread: Matthew,our
One who makes extra effort,troubler
Underworld title,don
Race-track pest,tout
Gland near stomach,Pancreas
Impressions,takes
Give a damn (wordplay),cuss
Piled up the leaves again after the wind got them,reraked
"Passion flower opens out, surprisingly, in draughts",air flows
Atlanta? ,home of thebraves
"Vitamin C target, to Pauling",common cold
"Ten-year-old, for example",tween
Got up with curiously grey clothes,toggery
"Norman Greenbaum ""Spirit in the ___""",sky
Quality. ,sort
Make operational in a way,debug
Chateau d'If and others,iles
Baker's measure,cup
"Rio Grande do ___, Brazil ",sul
It's on the Nunavut coat of arms,igloo
"Ready, willing and  ___ ",able
Shut up,penned
Bats in the ___,belfry
Tenures: Fr.,termes
Vatican art gallery in Rome. ,belvedere
Having nothing on suspect seen nicked by detective with new uniform on,nudeness
"A. J. Foyt, for example",racer
Speaker at the Hall of Fame,tris
___ lives,nine
"Sulley's pal in ""Monsters, Inc.""",mike
Be prolific,teem
Minuets cousin,gavot
IV ^ IV - C,CLVI
Change position  while sitting,recrossones legs
"(Actually, don't change this)",stet
Contents of menu put away without a serious effort,endeavour
Mentioned,named
"I'll do my Hepburn imitation in a minute, said___",Martin shortly
Aftermarket maker of auxiliary auto lights,Cibie
"In '82, Chrysler's first convertible since '70",le baron
Diamond gloves,mitts
Soda fountain drink,malted
Largest city in Texas,Houston
Owl's comment,hoot
Winter ailment,flu
Import replaced by the Echo in 2000,Toyota Tercel
"'Cheers' alternative, in a letter",yours
'A Year With Swollen Appendices' diarist Brian,eno
Gamble,risk
Jump lightly. ,skip
Pate.,noddle
Apartment devoted to iniquitous deeds (wordplay),sinpad
"Companion to five ""W""s",how
Zool. or geol,sci
Softly to Solti,piano
Asleep in odd positions,ale
Pro debater,anti
Retriever,labrador
Mythical wielder of the spear Gungnir,odin
"Forty-first, familiarly",Bush Sr
Second baseman Roberto,Alomar
It may light a room,lamp
"Utterly unstocked, as shelves",bare
Mohawk or mullet,style
Crisp fruit often used in Korean cuisine,asianpears
Science of plant life. ,botany
Nets,clears
Gen. Eisenhower's Second World War command,Eto
Marshmallow event,roast
Cinnabar and galena.,ores
Player of a children's game.,hider
Ultimate,acme
A child's plaything,toy
"Execute, as during the French Revolution",be head
"Confused 25D to catching fifty in plot, Marc's returned",scrambled
1940s' genre of American thriller or detective movies (French),film noir
Gore's successor,Cheney
Guide and get a tip,steer
Hillsides where kilts may be hung to dry,braes
"___ Barry, with the 1965 hit '1-2-3'",Len
United,joined
"Dancer's prefix with ""graph""",choreo
Funny papers features,comics
Organization founded in 1913 by B'nai B'rith,ADL
Franchise that was once based in Syracuse,Helena
"'Star Wars' boy, informally",an i
"New parent, eventually",name r
"Lorelei's river, to Germans ",rhein
'S wood for holding a window,sash
Achieves.,gets
Operational lines,scars
Christmas-time may be the main issue,season
Film star.,Loren
Q: Does it ___?  A: No,have four legs
Trained animal's repertoire,tricks
Kind of dancer,belly
Allude to a Vision Center (wordplay),citesight site
They'll get you thinking of most of those from 1 down in prison,brain cells
TV dish for game show fans (wordplay),veal of fortune
Salamander in witches brew,new t
Harbor (Spanish) ,puerto
How to find what a creep is looking at (wordplay),follow the leaer
The Jungle Book snake voiced by Scarlett Johansson,kaa
Snowsuit sporter,to t
___ da Rimini.,Francesca
"Do for a benefit, maybe",Gala
Part of a furnace. ,Stoker
Bakers' creations,cakes
Future G.P. ,interne
Where mechanics work. ,shop
Undo mark,stet
Fictional clerk. ,heep
Penn of 71-Across,sean
Crossword solutions,answers
A king of Israel ,a hab
Lacking liveliness,vapid
Great moves,coups
Cindy Brady's were cute,esses
Spokesman for South Africa.,Paton
Play mates,team
Concert hall item.,piano
Dealing with word origins,etymological
"2 x 4, often",stud
Reps abbreviation,AGTS
Eminent cellist,Yoyoma
Fulton's craft Abbreviation ,str
Victor letting slip wife's secret,inner
"Lyrics, essentially",poems
... ___ of robins in her hair... ,a nest
Stop boring pest holding one back,terminate
Ill-suited for growing,arid
Satellite launched on 12/6/66,at s
Part of Ph dre,acte
Chicago Hope cast member,arkin
Roster on a resume,skills
In Greece that's the beginning and the end of it,alpha and omega
That's enough to make the TD rave for a sale,advert
Long-range conception of current events. ,historism
Crammed,dense
"Bellini's oeuvre, mostly",operas
Real imp,Devil
Happy accepting permit in Scotland,galloway
Wearables.,swallowtailed coats
Floor covering.,tile
"Wiseman who directed the ""Underworld"" movies",Len
Dark diagnosis (wordplay),sad
See 11,plot
Like some slates and getaways,clean
Refined,couth
Leaves with little wiggle room,hems in
Intimate,closeknit
'In your face!',eat it
... played the tuba down ___,in cuba
"Henry, Jane or Peter of filmdom",fonda
1970's Robert Conrad courtroom drama,the da
"Fortune, in Hollywood. ",face
Fringes worn by Orthodox Jews,zizit
Updated movie,remake
Coins with the Royal Shield on them,pence
Fermented Japanese brews,sakes
Automotive part.,axle
Enthusiastic,Gung Ho
"Appears, threateningly",looms
Dinners,entrees
Girl caught star batsman,clara
"Measure bird, excluding head",inch
Getting around to making a song about the complement,screwing
"With 115 Across, character searching for a black falcon",sam
"Capsize, with over",Keel
Rifle range necessity. ,ammo
Former lover allowed pictures to be made public,exposed
Changed one's status,xed the line
"Crazy good, in modern slang",epic
"The King of Pop, in the tabloids",Jacko
"Hannibal ""The ___"" Lecter",cannibal
Bishop's headdress ,Miter
Having perked-up ears,alert
Year in Luther's time,MDI
The Big ___ (Randy Johnson),unit
while theyre hot,Getem
Outbursts of hilarity ,Galeso Flaughter
Thorny tree.,lime
"Words before ""well"" and ""bright""",all is
What mountaineers do,climb
Defeats overwhelmingly: Slang.,clobbers
Little-red-schoolhouse supplies,slates
Dauphin's pop,roi
Member of Bill's cabinet,madeleine
It has a cast of thousands,epic
"Recluse, cockney style",Ermit
Boxing ref's  call,tko
Avid,eager
Bullish investor's song (wordplay),ima dreamer
Seer of Dogpatch.,Oleman Mose
Bygone political entity that included Syr,UAR
Beasts of burden ,mules
Iron Fr. ,fer
Miner matter,gold
One who conducts case against defendant,prosecutor
Pastrami,on rye
Cousteau's domain,sea
Pulitzer-winning Iwo Jima photog Joe,Rosenthal
Facetious word for an actor,Mummer
Canadian writer Robertson,davies
Conference perk,free lunch
"Relatives, and what are hidden in the answers to 16-, 24-, 31-, 42-, 48-, and 59-Across",kin
Unable to get into anything so inadequate as a bikini,scanty
Present from a traffic warden (wordplay),parking ticket
Port for an ancient mariner. ,ararat
TOPPING # 3,pepper
Cold sort of headwear found in Greenland,ice cap
City of Africa,Cairo
"Bedouins, for example",no mads
Pen in Patna (wordplay),indiaclink
Vehicle to carry a coffin,hearse
3 Absent from the army without permission,awol
"___ making a list, and checking it twice",hes
Van kin,suv
Extremely important,epochal
"Dehydrated ruler of the Land of Sweets in ""The Nutcracker"" (wordplay)",Sugarprune Fairy
To be in France,etre
"Former ""Fashion Emergency"" host",emme
Take from a flask,swig
Fugeddaboudit!,Nah
State of marshiness (wordplay),Moory InMissouri
Up in the sky. ,as oar
Worldwide economic organization,IMF
Nation on the Mediterranean,israel
Decorate by cutting and shaping,carve
With The hit song that begins I am just a poor boy and my storys seldom told,Boxer
Hollow area,Cleft
Emphatic phrase,i repeat
Reps.' opponents,dems
Sucker,live one
Coat with an alloy,terne
"Historical figure in ""Henry VI, Part II""",Somerset
Sloppy,lax
One gets in formation as one,learner
Chair carried on poles,sedan
Toweling off spot,bathmat
Pershing's men ,AEF
Lead role in a classic Arthur Miller play,loman
"Uses Quora, perhaps",asks
Creed of Christianity,nicene
Double dagger ,dies is
Sixties band still fronted by Eric Burdon,the animals
Understand right to support Conservatives,construe
Bats' haunts,belfries
Small dog's perch,LAP
Automotive pioneer Bugatti,ettore
Kennedy's Midwestern counterpart ,oh are
Get a bang out of life! mint,tictac
Scrutinise setters in a jam (last three go first),inspect
Rather ___ ,than
"One caught off base, perhaps",awol
___ up (lets the booze wear off),sobers
Noted pseudonym. ,elia
Entrance to some buildings,revolving door
Tom Watson's organization,PGA
Big man in baseball. ,hitter
Composer maintains Mahler's 6th is a send-up,satire
"Signer will give this pat, a rough translation",autograph
Health-restoring process,rehab
... a dueling contest with a lot of clever dialogue (wordplay),sword play
At liberty,loose
Fla. city,or l
"Hard to find, to Caesar",rara
"Length of, say, a vehicle reversing",yardage
Stakelike,palar
Schuss through powder,ski
Word before clip or cutter,paper
Stack of CDs,pile
Prefix for acid or corn ,tri
"Fall through winter, according to the CDC",fluseason
Mrs. Roosevelt's first name.,anna
Harsh and punitive,severe
Exhaled like a horse,snorted
Its political leaders are unlikely to get to number ten,oligarchy
Japanese city - Tokyo (anagram),kyoto
Undercooked,rare
Creator of Sir Roger de Coverly. ,steele
Mate of Hook,smee
I'd rather see than ___: G. Burgess,be one
Jack Horner's dessert ,pie
Expresses displeasure,hoots
When something is on,air date
"Flat, circular plate - record",disc
"Coal, essentially",carbon
Scrabble piece.,tile
"Came down on a branch, say",a lit
"Outlaw peer, odd as can be",desperado
Book by Ade,artie
Aerialist's safety gear,net
Falter in words,stutter
Soap opera meetings,trysts
Formerly Persia,Iran
"Reagan's ""Knute Rockne"" role",gipp
Tiny Greek island in the Cyclades.,delos
Coach who cofounded the NFL,Halas
Kind of sauce or steak,tartar
Part of C.W. Post abbreviation,in it
Infection - so is absent from school period,cholera
Its highest point is the volcano Gunung Agung,bali
"With 65-Across, Susan Lucci role",Erica
Suffer pain? Cure partly,in cur
Languishes in prison,rots
The Color ___,purple
"Drag, e.g",race
"Somewhat, Dan",rather
French pince-nez ,Lorgnon
Certain 49-Down,Maxis
Coiners. ,minters
"Two, in Torino ",due
Flying circuses,air shows
Orchestra man ,oboist
"The 'A' of UAW, briefly",auto
Maui wreath,lei
Song stylist Mercer ,Mabel
People left in ruins,aztecs
"Spots for slots, for example (wordplay)",typo
In the ballpark,warm
Heavy rain (wordplay),hail
Andrew Carnegie was one ,selfmade man
"""Pick ___ of Cotton"" (Leadbelly song)",abale
Light Cordoba courses,tap as
Lumber processors,saw mills
Abner's radio chum,lum
Not a single one to have on toast,bride
Gobs.,oodles
Babbitt novelist,lewis
Take in,fool
A refrigerant ,ethane
Group of families,order
Copacetic state,amity
Let ___ good unto all men: Galatians,us do
Medically closed up,sutured
Site of the games,Arena
Single-handed. ,lone
Nigerian-born pop singer,Sade
"Author A.A., who wrote ""a fly can't bird, but a bird can fly""",Milne
___ Trouble (1994 movie),i love
Giant porker swallows tail when retreating,goliath
Disguised sole heir,only warlock
Hop or sing ending,a long
Mutt in a 1955 film,tramp
Champagne name from France,mumm
Sandwich (informal),Sarnie
Bean commonly found in succotash,Lima
Celebrate with abandon,letoff steam
Temporary shelters,huts
Installs a lawn,sods
He knew Susie ,cantor
"Computer fixes, often",restarts
Reply to the minister,i do
Buckeye.,Ohio an
Strategic move against mosquitoes. ,swat
Weapon for Wolverine,claw
Less than ideal place to be if you need to leave town quickly (wordplay),Community Center
"Word after big, motor or bad",mouths
Beneath decks.,a low
Pierres parting,Adieu
Part of E.S.T.,time
'His posterior goes all the way back into the easy chair - ___!',touchdown
Feigned. ,shammed
Fit as a fiddle,healthy
Warship at end of line came up like a cork,suberose
Alternative to Delta and United for short  wds,US Air
"Roll, roll, roll in ze hay singer in ""Young Frankenstein""",inga
"Yes, yes, yes, to Jose",Sisisi
Wigwam cousin,tepee
Police HQ alerts,a pbs
Sandhill,dune
Schreiber who won a Tony for 'Glengarry Glen Ross',Liev
Instrument; plant,viola
Wave Lat. ,unda
IRA member on street becomes a dignitary,provost
Yahoo!,yay
___ Speedwagon of rock ,reo
Braque's field. ,cubist art
The child is a girl,is sue
"After the conflict, a thousand listen to Edward at the loch showing such geniality",warm heartedness
Motorcycle sport,scrambling
Yom Kippur observers,atoners
Runyon girl,doll
"Local movie venue, in Variety slang",na be
Collide head-on,ram
Rider's woe,sore
Aviating award abbreviation,dfm
 . . . the ___ of Greece!: Byron,isles
Nickel-and-___ (cheap one),dimer
Keyboard with whistles,calliope
"""___ likely!""",not
Geologists record five. ,eras
Small can,caddy
Song from Gypsy,let me entertain you
House debt,Lien
Mixed-up social group (wordplay),muddle class
"""The Hawk in the Rain"" poet Hughes",Ted
'Red Letter Year' singer DiFranco,an i
A church runs it,Parochial School
Melee. ,Affray
Do get what's second-hand and get soaked,doused
Genuflection joint,knee
Discharged,emptied
Confusedly matted,tangled
Unusually gifted young scholars may be told not to,fidget
Marie's husband,Pierre
Some candidates,senators
Put off to later,deferred
DOJ branch,dea
U.S. resident,american
Spanish weeks,seman as
Gives in,melts
"Jordan, to worshipers",his airness
Amount raised on march to create essential publication,must read
"Examining closely, with ""over""",poring
Phrase,veterinary
Wins in rings,KOS
Nasal sounds. ,sniffs
___ world,one
"The Unready, for Ethelred",epithet
PC brand of the 1980s and 1990s,Amiga
Scouting mission for short,recon
Corny. ,trite
Alternative digest name,utne
Where Shipyard is brewed,portland
Heavenly bears,ursae
Bob Hope's real first name,Leslie
Castration's timeless remedy for what flashers use,raincoats
Cancel a space trip ,abort
"Finnish rock band with a ""heartagram"" logo",him
"Notched, as a saw. ",serrated
Tanning agent,sunshine
Servitor of a sort.,valet
Show with a peanut gallery,howdy doody
Knight's trait,valor
Resident of Tallinn,ESTH
Inventor of first digital calculator ,pascal
Symbol war. ,are s
Steering systems at sea,helms
Techniques for a yo-yoer (wordplay),crash diets
Makes drugs easier to swallow (wordplay),oilspills
Gladys Knight and the Pips' 'I've Got to - Imagination',use my
...speak...with ___ voice: Shak.,are ed
Names in brewing and filmmaking,pabsts
Valuable collection ,trove
How 'e gets nothing drawn up,line
"Ending for ""love""",Lorn
See 17 Across ,els
Small parts. ,bits
Glean (anagram),angel
Pool platform,deck
"It's a thousand, actually, as a rule",realm
"Strike back, smashing crate",react
94 Across highlight,aria
Hall-of-Famer Banks,Ernie
"Being ___, Sellers film",there
"Baal, to a nonheathen ",false god
Govt. agency,ECA
Perquisite ,tip
of a dram,minim
"Passenger picker-upper, of sorts",gypsy cab
Rented dwellings (abbreviation),apts
Stool pigeon ,tattler
Russia's parliament,duma
"She was Lois in ""Lois & Clark""",teri
Trainees learn them with the,ropes
Bald man of advertising,mrclean
"Big Brown, for one",racehorse
Travelling journalist,foreigncorrespondent
Auto tire,wheel
"Relating to roughness or smoothness, say",textural
"Boomers' progeny, to over-simplify things",genx
Clinch breaker ,ref
Big caper on carriage,gigantic
Secretary of state after Hillary Clinton,John Kerry
Milit. medal,DSO
Social insect ,hornet
Intelligence? Dull subject!,grey matter
"Dives made by footballers, perhaps",headers
It's opposite WSW,e ne
Horror film series that chronicles Damien Thorn,the omen
Unruly youngster,brat
Deceit Lat. ,Dolus
Like fantasyland,neural
Year book (wordplay),annal
Natural craving,appetite
It is her hair at last that makes her the boss (wordplay),mistress
"Max von ___ of ""The Exorcist""",sydow
"Gunman in bar in Hull, 24 worker",Rod
Shop jargon,lingo
Ostriches.,rheas
Snub.,rebuff
Contest responders,entrants
Crystalline mineral variable,felspar
Bog moss,peat
Tasmania's tallest mountain,ossa
Winner of  of the  presidential vote,nader
Ski resort equipment,tbar
Agenda unit. ,item
Upgrade from black-and-white,color image
Tie at Wimbledon,Deuce
Still oblivious,nowiser
Working-class symbol worn by the clergy (wordplay),cloth cap
Irrational numbers,surds
Taint quint,squad
Sacred circle,halo
Neo-soul singer who was notable for a period (wordplay),Arie
Chain selling elk sausage,ikea
Wok veggie,peapod
Actor J Carrol,naish
Make houses of metal on independent island,martinique
Group seeking a missing person,search party
Press adjuncts ,inkers
Flinch at gamebird (wordplay),Quail
Aidas status,slave
Called Fr. ,dite
Shut in,enclose
Othello,the moorofvenice
Roaring sound,thunder
WWII UK flying group,RAF
Supporting beams,joists
Gospel,dogma
Play in the paddock (wordplay),foal around
"""Shinplaster."" ",scrip
"Over which, for example, Picasso would proceed cautiously",speed bump
Ice-cold ,gelid
Warsaw inhabitants,poles
Nocturnal lemur found in Madagascar. ,Ayeaye
Indian master (wordplay),sahib
Harmless,benign
Immeasurable chasms,abysses
"Formal ""for it!""",yea
Acorn.,nut
Oklahoma City-to-Birmingham dir.,ese
Enter MGWCC #043,text
Gummy bears finally located by second year,sticky
Compass point between tees,tenet
___-TURN (road sign): 2 wds.,Nou
Home of Penn State's Ivyside Park campus,Altoona
Apple bit that may tell your fortune,seed
Some are ear-piercing,studs
Navy rank abbreviation,comm
Space-race participant,USSR
Dang and Shazam,oaths
"Verbally right, but morally wrong",Pisos Justice
"Via del ___, Roma",corso
Disguise cross put up at the main entrance,Front Door
Coastal Anatolian region,Ionia
Reception highlights,toasts
"Name associated with ""Walnuts"" on HBO",Paulie
Inferno division,canto
Suffix with Siam and Vietnam,ese
Big bookshelf seller,ikea
Moderate carapace supporting tons (wordplay),tonedown
Elevators home,shaft
It automatically plays .45's (2 words),record changer
Home aquarium inhabitant,petfish
Milieu of Martha Graham ,dance
Stage and film actor,Peter Falk
Some modern rewards,miles
'Colorado Serenade' and others,oaters
Ordered around.,bossed
Tatin French apple dessert,tarte
Grate together,grind
Spanish diacritic,cedilla
ANOTHER DESSERT,blackforest cake
Henry Higgins' pupil,Eliza
Sufferings,woes
